Machine ID,File Path,Parent Process,Decision,File Name,User,Sha256
5F9EDA11-82AB-50E8-BAFA-23704D2743C7,/Applications/Figma.app/Contents/MacOS,launchd,ALLOW_UNKNOWN,Figma,amit-turner,aecd5b2551cce9b1f8ed0174557cbebe8cdd645c14e3f6fcccf98dd2ee123c9c
F15BF346-4295-5CF0-B616-E428EF5CC7E0,/Applications/OrbStack.app/Contents/MacOS/xbin,docker,ALLOW_UNKNOWN,docker-compose,danielk,b888103c08ed9af1ee0771f87da41269f0fe84fa424bea3c0f2f3320f7de9251
F15BF346-4295-5CF0-B616-E428EF5CC7E0,/Applications/OrbStack.app/Contents/MacOS/xbin,docker-compose,ALLOW_UNKNOWN,docker-credential-osxkeychain,danielk,391a8ee61b20b5d9b3c42d1bd6e19d14fb85e78e41eb804397df850e7070e234
F15BF346-4295-5CF0-B616-E428EF5CC7E0,/opt/homebrew/Cellar/jq/1.8.1/bin,zsh,ALLOW_UNKNOWN,jq,danielk,980d76736cd188c58cd0d4bac23319f3cc6579f28cd8af6683fdfd1bd57525cb
F15BF346-4295-5CF0-B616-E428EF5CC7E0,/opt/homebrew/Cellar/kubernetes-cli/1.34.1/bin,idea,ALLOW_UNKNOWN,kubectl,danielk,a8d987554c96c991c80a5a5634249368a5665db5aeb06286d21223f1ee740a14
F15BF346-4295-5CF0-B616-E428EF5CC7E0,/Applications/OrbStack.app/Contents/MacOS/xbin,docker-compose,ALLOW_UNKNOWN,docker-buildx,danielk,3bd5dcd4eb8d322a95cc03f91f3ca699f8b14894148a8c26c316e98b93203648
721E480C-82A2-536C-B499-70CF159834F7,/Applications/Cursor.app/Contents/Frameworks/Cursor Helper (Renderer).app/Contents/MacOS,Cursor,ALLOW_UNKNOWN,Cursor Helper (Renderer),bellekriger,a35c2bdf9368bbf90f4f7a63c287a328c0e84bf7cdbc64e1264fb4a00de300e3
721E480C-82A2-536C-B499-70CF159834F7,/Applications/Cursor.app/Contents/Frameworks/Cursor Helper (Plugin).app/Contents/MacOS,Cursor,ALLOW_UNKNOWN,Cursor Helper (Plugin),bellekriger,83b771ac9edcac4085c4c92f56d3108a5f10ea0cae113cf88f6769219c8d7bcc
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_63261_1767708387_396164,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/Applications/OrbStack.app/Contents/MacOS,OrbStack Helper,ALLOW_UNKNOWN,OrbStack,edeneliel,93ec698c3f3dfd6fb68e1fc09f6cd426aa457b58b9b89f1fae69174db777629c
512AF8DF-54FB-54D9-91DF-F500F127AC3D,/Applications/Notion.app/Contents/Frameworks/Notion Helper (Renderer).app/Contents/MacOS,Notion,ALLOW_UNKNOWN,Notion Helper (Renderer),nettazohar,d13d8b251cc226ede4bf8827f1fcf900ef44bd936bcf6052a6e4a0a7751147f5
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_55672_1767707474_931233,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
DF5EC47C-F101-5126-BAA5-F39B32BC1966,/Applications/Cursor.app/Contents/Resources/app/node_modules/node-pty/build/Release,Cursor Helper,ALLOW_UNKNOWN,spawn-helper,benviligura,00e344ffec2eb2253404aa540a994de16286066e06d316e46da793d2527200b5
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_47833_1767706562_524676,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
DF5EC47C-F101-5126-BAA5-F39B32BC1966,/Applications/Cursor.app/Contents/Frameworks/Cursor Helper (Plugin).app/Contents/MacOS,Cursor,ALLOW_UNKNOWN,Cursor Helper (Plugin),benviligura,b496960a15b0e52a2bf72bb4973ac7596939b80ee62f7327111e66f878b4a1e7
DF5EC47C-F101-5126-BAA5-F39B32BC1966,/Applications/Cursor.app/Contents/Frameworks/Cursor Helper (Renderer).app/Contents/MacOS,Cursor,ALLOW_UNKNOWN,Cursor Helper (Renderer),benviligura,a24e4ed6a51eb55940cd23bc7cdde97e9faa19aa5ce554d20e4f58ae89ae515d
BCF2047D-874A-579F-8E65-396AB4CBE498,/Applications/1Password.app/Contents/Frameworks/1Password Helper (Renderer).app/Contents/MacOS,1Password,ALLOW_UNKNOWN,1Password Helper (Renderer),ariel,6a9fca618065fa31f793703c60d14e2a9939e97e5ea91917dc8267d7bcaca955
BCF2047D-874A-579F-8E65-396AB4CBE498,/opt/homebrew/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS,make,ALLOW_UNKNOWN,Python,ariel,9147118c1155b6fbee2759d5bbf33f0f429e7de25111c3ec3cdae07850e84f81
